"","AGE_A_CAPTURE","TAILLE.(mm)"
"1",5,188
"2",6,185
"3",4,186
"4",4,186
"5",5,189
"6",5,187
"7",5,184
"8",6,215
"9",6,216
"10",5,188
"11",4,186
"12",3,181
"13",5,188
"14",5,190
"15",7,230
"16",5,189
"17",6,225
"18",6,225
"19",7,225
"20",5,220
"21",5,215
"22",4,181
"23",4,191
"24",7,225
"25",4,179
"26",4,188
"27",4,185
"28",7,215
"29",5,186
"30",5,190
"31",5,189
"32",5,188
"33",4,191
"34",6,212
"35",5,186
"36",4,178
"37",5,191
"38",4,194
"39",5,179
"40",5,182
"41",4,180
"42",6,186
"43",4,191
"44",5,184
"45",5,180
"46",3,182
"47",4,180
"48",7,227
"49",7,220
"50",7,222
"51",6,215
"52",6,220
"53",7,210
"54",7,220
"55",5,187
"56",4,187
"57",7,188
"58",4,189
"59",5,240
"60",6,220
"61",5,200
"62",6,230
"63",7,240
"64",4,210
"65",7,240
"66",4,190
"67",5,220
"68",7,240
"69",5,220
"70",6,240
"71",6,240
"72",5,240
"73",4,230
"74",5,240
"75",6,230
"76",5,230
"77",7,230
"78",5,220
"79",7,230
"80",5,240
"81",6,240
"82",5,192
"83",5,183
"84",5,184
"85",5,210
"86",6,220
"87",5,200
"88",4,190
"89",5,187
"90",3,220
"91",5,184
"92",3,190
"93",4,200
"94",4,191
"95",4,230
"96",4,200
"97",3,189
"98",5,190
"99",5,182
"100",4,187
"101",5,188
"102",6,220
"103",6,230
"104",5,190
"105",5,240
"106",6,220
"107",5,177
"108",4,190
"109",4,189
"110",4,190
"111",5,184
"112",5,193
"113",5,193
"114",5,182
"115",3,184
"116",5,189
"117",5,186
"118",5,182
"119",7,190
"120",4,189
"121",5,194
"122",4,190
"123",5,181
"124",5,187
"125",5,183
"126",3,175
"127",4,176
"128",4,188
"129",5,192
"130",7,215
"131",7,223
"132",7,228
"133",7,218
"134",6,219
"135",6,225
"136",7,225
"137",7,215
"138",4,210
"139",7,220
"140",7,230
"141",7,215
"142",6,220
"143",5,223
"144",7,215
"145",6,215
"146",5,213
"147",6,229
"148",5,220
"149",7,220
"150",7,220
"151",6,220
"152",6,210
"153",5,215
"154",7,210
"155",7,225
"156",7,210
"157",7,218
"158",5,220
"159",5,210
"160",7,216
"161",7,210
"162",7,220
"163",7,225
"164",7,225
"165",5,219
"166",8,225
"167",7,228
"168",7,220
"169",7,228
"170",5,225
"171",7,214
"172",7,220
"173",7,210
"174",6,230
"175",7,230
"176",7,220
"177",7,225
"178",7,215
"179",7,225
"180",7,215
"181",6,213
"182",6,215
